iter	MultiClass
0	2.00177038
1	1.792236216
2	1.650638791
3	1.509606729
4	1.411805101
5	1.315384142
6	1.228225711
7	1.165315952
8	1.097556517
9	1.040565044
10	0.9944104059
11	0.9436048247
12	0.899871117
13	0.8587479464
14	0.8222779119
15	0.7862668627
16	0.7563408717
17	0.7239195995
18	0.6982505874
19	0.675250641
20	0.6550442109
21	0.6328576554
22	0.6118484073
23	0.5919892631
24	0.577412749
25	0.5619493922
26	0.5448881455
27	0.531198869
28	0.5164788756
29	0.5035330866
30	0.4897967459
31	0.48041767
32	0.4712298996
33	0.4598276734
34	0.4487165368
35	0.4380743954
36	0.4287180998
37	0.4213481117
38	0.4120420292
39	0.403906299
40	0.3959471537
41	0.38823474
42	0.3802374535
43	0.3738456097
44	0.3663558388
45	0.3586306513
46	0.3528441786
47	0.3466751829
48	0.3397152375
49	0.3350831572
50	0.3322179708
51	0.3270617577
52	0.3217652328
53	0.3164159295
54	0.3124878035
55	0.3075674569
56	0.3039305956
57	0.2997148005
58	0.2944934573
59	0.2901208455
60	0.2864870807
61	0.2828417093
62	0.2799907905
63	0.2776540127
64	0.2741560524
65	0.2709730179
66	0.268153396
67	0.2645020675
68	0.2618440819
69	0.2597591874
70	0.2569415895
71	0.2542779369
72	0.2512011388
73	0.248263992
74	0.2451088207
75	0.2436166164
76	0.2421185916
77	0.2399827476
78	0.2375242048
79	0.2343332417
80	0.2319447891
81	0.2299029828
82	0.2282207803
83	0.2268758194
84	0.2241617133
85	0.2221291129
86	0.220952745
87	0.2189772248
88	0.2172943662
89	0.2151073975
90	0.2126259216
91	0.2116045342
92	0.2090274411
93	0.2071535559
94	0.2055684791
95	0.2035144497
96	0.2013364132
97	0.1996574299
98	0.1977029272
99	0.196425487
100	0.1952608257
101	0.1939885615
102	0.1922604866
103	0.1909191937
104	0.1895839088
105	0.1887506547
106	0.1874756085
107	0.1866926666
108	0.185020924
109	0.1832131417
110	0.1823370001
111	0.1819016983
112	0.1805449374
113	0.1795531159
114	0.1787183373
115	0.1778410474
116	0.1765963761
117	0.1750637918
118	0.1744555328
119	0.1734637583
120	0.1730605785
121	0.1723733438
122	0.1716149172
123	0.1711658554
124	0.1699423226
125	0.169370265
126	0.1689005931
127	0.1686131533
128	0.1683672018
129	0.1682094892
130	0.1679428399
131	0.1676129143
132	0.1663217006
133	0.1653336468
134	0.1643569911
135	0.1642246973
136	0.1635137758
137	0.16284478
138	0.1624701087
139	0.1621788074
140	0.1610824874
141	0.1605402274
142	0.1595730307
143	0.1594911856
144	0.1593525687
145	0.1584876886
146	0.1577251064
147	0.1574189411
148	0.1568143864
149	0.1565403143
150	0.1560273399
151	0.1559221872
152	0.155469955
153	0.1538103431
154	0.1538029139
155	0.1533500181
156	0.1531644794
157	0.1528142082
158	0.1527508366
159	0.1524001285
160	0.1519528788
161	0.1518988119
162	0.151660896
163	0.1505933958
164	0.1504992239
165	0.1500881036
166	0.1497836524
167	0.1494038645
168	0.1485609851
169	0.1482818997
170	0.147549517
171	0.1473687318
172	0.1471570232
173	0.1468230223
174	0.1465877804
175	0.1462298735
176	0.1461697181
177	0.1458687159
178	0.1452948374
179	0.1449629631
180	0.1443629158
181	0.1438444178
182	0.1431379606
183	0.1423342484
184	0.1422315139
185	0.1421602406
186	0.142156889
187	0.1418511866
188	0.1417072244
189	0.1415013735
190	0.1412283074
191	0.1404384426
192	0.1403673669
193	0.1402862104
194	0.1400564659
195	0.1399216034
196	0.1399174998
197	0.1391454808
198	0.1388588506
199	0.138845985
200	0.1387927903
201	0.1382303416
202	0.138099367
203	0.1378940979
204	0.1370652589
205	0.1370134927
206	0.136594545
207	0.1361475305
208	0.1359677163
209	0.1359632756
210	0.1359230221
211	0.1357197035
212	0.1356741266
213	0.1356161558
214	0.1352975463
215	0.135180851
216	0.1349127846
217	0.1346801787
218	0.1346772931
219	0.1345083521
220	0.1342795392
221	0.1342503881
222	0.134246049
223	0.1341036644
224	0.1340180628
225	0.1330952898
226	0.1329875132
227	0.1327505463
228	0.1326837658
229	0.1325988276
230	0.1324731653
231	0.1324142799
232	0.1321821958
233	0.132108056
234	0.1319087201
235	0.1318755681
236	0.1318628355
237	0.1313417767
238	0.1308859911
239	0.1306308778
240	0.1306278024
241	0.1306247289
242	0.1305204778
243	0.1303299466
244	0.1301295848
245	0.1299381389
246	0.129802341
247	0.1296187612
248	0.1294461707
249	0.1292692255
250	0.1292068783
251	0.1290680739
252	0.1289319222
253	0.1286773676
254	0.1282879853
255	0.1282214162
256	0.1273801634
257	0.1273338007
258	0.1272254871
259	0.127182911
260	0.1270912905
261	0.1270695642
262	0.1267544447
263	0.1267068524
264	0.1266820639
265	0.1265364038
266	0.1264777069
267	0.1264041683
268	0.1257905488
269	0.1257193456
270	0.1256233335
271	0.1256027112
272	0.1255140677
273	0.1254453679
274	0.125441773
275	0.125439242
276	0.1253422773
277	0.1250497697
278	0.1249580519
279	0.1247109759
280	0.1245187553
281	0.1244341163
282	0.1242275812
283	0.1242242725
284	0.1241266937
285	0.1241235407
286	0.1241012783
287	0.1236843831
288	0.1236570572
289	0.1235623645
290	0.1234719394
291	0.1230743341
292	0.122930514
293	0.1228902312
294	0.1228533517
295	0.1227654053
296	0.1224294743
297	0.1219882181
298	0.1219510614
299	0.1218880235
300	0.1218503677
301	0.121726734
302	0.1216656294
303	0.1216091623
304	0.1214346544
305	0.1212438737
306	0.1211928499
307	0.1211159726
308	0.1208456995
309	0.1206779097
310	0.1204790686
311	0.1204672265
312	0.1203783915
313	0.1202178705
314	0.1201459616
315	0.1200212413
316	0.1200023077
317	0.1199770578
318	0.1198836952
319	0.1197092308
320	0.1196846159
321	0.1195552817
322	0.1195190788
323	0.1194283829
324	0.1192923274
325	0.1192125043
326	0.119130063
327	0.1190155755
328	0.1190010051
329	0.1188647764
330	0.1188312039
331	0.1188294683
332	0.1187923002
333	0.1186492805
334	0.1186156586
335	0.1185481409
336	0.1182991571
337	0.1182086933
338	0.1179150151
339	0.1178624943
340	0.1173821467
341	0.1173373718
342	0.1173031169
343	0.117207995
344	0.117169995
345	0.1169645782
346	0.1168553008
347	0.1167676043
348	0.1165699123
349	0.1165113664
350	0.1164659196
351	0.1159409151
352	0.1153984752
353	0.1152797396
354	0.1152134233
355	0.1151271712
356	0.1150615081
357	0.1148169084
358	0.1147519688
359	0.1146678762
360	0.1146537153
361	0.1146228253
362	0.1145838888
363	0.1145351324
364	0.1141819912
365	0.1140847339
366	0.1140458699
367	0.1138329013
368	0.1136903275
369	0.1136259401
370	0.1133896648
371	0.1131484602
372	0.1131468535
373	0.113068325
374	0.1129538415
375	0.1129210981
376	0.1128426861
377	0.112791744
378	0.1127890406
379	0.1127080321
380	0.1125342466
381	0.1124623526
382	0.1123682915
383	0.1122021012
384	0.1120196901
385	0.1117822048
386	0.1116680953
387	0.1114010318
388	0.1113083389
389	0.1112315832
390	0.1110504264
391	0.1110376531
392	0.1109937073
393	0.1109659951
394	0.1108401649
395	0.110837873
396	0.1108072561
397	0.1107250433
398	0.1105854178
399	0.1105408717
400	0.1104160358
401	0.1103048408
402	0.1102265408
403	0.1101834334
404	0.1100569622
405	0.1098020781
406	0.1097825338
407	0.1096988504
408	0.1094845426
409	0.1094015029
410	0.1092869862
411	0.1091622496
412	0.1090191275
413	0.1089157261
414	0.1087767803
415	0.1087570271
416	0.1086181212
417	0.1085555949
418	0.1084302528
419	0.108289347
420	0.1081704918
421	0.1081063871
422	0.1079705981
423	0.107922275
424	0.1076310701
425	0.1075630717
426	0.1074725752
427	0.1074118674
428	0.1069189672
429	0.1069047385
430	0.1068161997
431	0.1066951546
432	0.1065280753
433	0.1064131584
434	0.1062941495
435	0.106261872
436	0.1061857997
437	0.106149912
438	0.1060909734
439	0.1060110971
440	0.1059375329
441	0.1058189418
442	0.1057728199
443	0.1056913025
444	0.1056152094
445	0.1055943697
446	0.1055215937
447	0.1054933503
448	0.1054070914
449	0.105299002
450	0.1052627407
451	0.1052135541
452	0.1050759692
453	0.1050653365
454	0.1048556181
455	0.1047740408
456	0.1047724961
457	0.1047192039
458	0.1046367228
459	0.1044188929
460	0.1043323225
461	0.1042395649
462	0.1042360192
463	0.1041659813
464	0.1040988999
465	0.1039654292
466	0.1039339182
467	0.103842438
468	0.103361325
