iter	Passed	Remaining
0	919	91018
1	1801	88269
2	2679	86635
3	3574	85777
4	4460	84741
5	5370	84135
6	6254	83095
7	7155	82284
8	7813	79007
9	8406	75654
10	8977	72635
11	9561	70114
12	10131	67805
13	10700	65730
14	11269	63863
15	11842	62174
16	12408	60581
17	12979	59129
18	13556	57794
19	14132	56528
20	14706	55326
21	15286	54198
22	15925	53314
23	16491	52222
24	17049	51148
25	17622	50157
26	18192	49186
27	18761	48244
28	19336	47341
29	19908	46453
30	20493	45615
31	21055	44743
32	21623	43902
33	22195	43084
34	22773	42292
35	23349	41509
36	23920	40729
37	24491	39959
38	25052	39184
39	25638	38458
40	26309	37860
41	26877	37116
42	27456	36395
43	28018	35659
44	28594	34948
45	29168	34241
46	29760	33559
47	30332	32859
48	30899	32161
49	31462	31462
50	32030	30774
51	32601	30094
52	33169	29414
53	33737	28739
54	34312	28073
55	34881	27406
56	35444	26738
57	36009	26075
58	36579	25419
59	37145	24763
60	37705	24106
61	38271	23456
62	38839	22810
63	39411	22169
64	39983	21529
65	40559	20894
66	41129	20257
67	41700	19623
68	42272	18991
69	42836	18358
70	43404	17728
71	43975	17101
72	44556	16479
73	45124	15854
74	45705	15235
75	46278	14614
76	46869	13999
77	47444	13381
78	48022	12765
79	48596	12149
80	49162	11532
81	49741	10918
82	50308	10304
83	50882	9691
84	51458	9080
85	52031	8470
86	52601	7860
87	53169	7250
88	53742	6642
89	54318	6035
90	54897	5429
91	55484	4824
92	56051	4218
93	56626	3614
94	57197	3010
95	57771	2407
96	58345	1804
97	58921	1202
98	59532	601
99	60145	0
